Fund Name:,SPDR® S&P 500® ETF Trust,,,,,,,
Ticker Symbol:,SPY,,,,,,,
Holdings:,As of 11/21/2019,,,,,,,
Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,
Microsoft Corporation,MSFT,59491810,2588173,4.424916,Information Technology,82949810.000,USD,
Apple Inc.,AAPL,03783310,2046251,4.315146,Information Technology,46149932.000,USD,
Amazon.com Inc.,AMZN,02313510,2000019,2.794432,Consumer Discretionary,4513985.000,USD,
Facebook Inc. Class A,FB,30303M10,B7TL820,1.846064,Communication Services,26135360.000,USD,
Berkshire Hathaway Inc. Class B,BRK.B,08467070,2073390,1.646844,Financials,21302336.000,USD,
JPMorgan Chase & Co.,JPM,46625H10,2190385,1.610674,Financials,34736940.000,USD,
Alphabet Inc. Class C,GOOG,02079K10,BYY88Y7,1.524602,Communication Services,3282886.000,USD,
Alphabet Inc. Class A,GOOGL,02079K30,BYVY8G0,1.509817,Communication Services,3254075.000,USD,
Johnson & Johnson,JNJ,47816010,2475833,1.396042,Health Care,28671490.000,USD,
Visa Inc. Class A,V,92826C83,B2PZN04,1.204436,Information Technology,18761604.000,USD,
Procter & Gamble Company,PG,74271810,2704407,1.167607,Consumer Staples,27188172.000,USD,
Exxon Mobil Corporation,XOM,30231G10,2326618,1.142851,Energy,45966070.000,USD,
Bank of America Corp,BAC,06050510,2295677,1.066610,Financials,91011416.000,USD,
AT&T Inc.,T,00206R10,2831811,1.065165,Communication Services,79382056.000,USD,
Walt Disney Company,DIS,25468710,2270726,1.025930,Communication Services,19569940.000,USD,
UnitedHealth Group Incorporated,UNH,91324P10,2917766,1.016813,Health Care,10302934.000,USD,
Intel Corporation,INTC,45814010,2463247,0.999920,Information Technology,48126764.000,USD,
Mastercard Incorporated Class A,MA,57636Q10,B121557,0.984546,Information Technology,9698924.000,USD,
Verizon Communications Inc.,VZ,92343V10,2090571,0.955849,Communication Services,44932816.000,USD,
Home Depot Inc.,HD,43707610,2434209,0.927884,Consumer Discretionary,11897512.000,USD,
Chevron Corporation,CVX,16676410,2838555,0.874154,Energy,20624086.000,USD,
Merck & Co. Inc.,MRK,58933Y10,2778844,0.848313,Health Care,27815496.000,USD,
Wells Fargo & Company,WFC,94974610,2649100,0.832581,Financials,43559150.000,USD,
Pfizer Inc.,PFE,71708110,2684703,0.809280,Health Care,60088388.000,USD,
Coca-Cola Company,KO,19121610,2206657,0.790169,Consumer Staples,41808590.000,USD,
Comcast Corporation Class A,CMCSA,20030N10,2044545,0.780029,Communication Services,49273384.000,USD,
Boeing Company,BA,09702310,2108601,0.759452,Industrials,5807525.000,USD,
Cisco Systems Inc.,CSCO,17275R10,2198163,0.738012,Information Technology,46120210.000,USD,
PepsiCo Inc.,PEP,71344810,2681511,0.726759,Consumer Staples,15207950.000,USD,
Walmart Inc.,WMT,93114210,2936921,0.660857,Consumer Staples,15449940.000,USD,
Citigroup Inc.,C,17296742,2297907,0.648273,Financials,24581396.000,USD,
Medtronic Plc,MDT,G5960L10,BTN1Y11,0.575643,Health Care,14599017.000,USD,
Abbott Laboratories,ABT,00282410,2002305,0.574309,Health Care,19231688.000,USD,
McDonald's Corporation,MCD,58013510,2550707,0.567240,Consumer Discretionary,8263580.000,USD,
Adobe Inc.,ADBE,00724F10,2008154,0.563132,Information Technology,5281086.000,USD,
salesforce.com inc.,CRM,79466L30,2310525,0.554695,Information Technology,9542886.000,USD,
Amgen Inc.,AMGN,03116210,2023607,0.530528,Health Care,6525445.000,USD,
Netflix Inc.,NFLX,64110L10,2857817,0.529927,Communication Services,4764162.000,USD,
Bristol-Myers Squibb Company,BMY,11012210,2126335,0.516493,Health Care,25458204.000,USD,
Costco Wholesale Corporation,COST,22160K10,2701271,0.512785,Consumer Staples,4785386.000,USD,
Philip Morris International Inc.,PM,71817210,B2PKRQ3,0.504235,Consumer Staples,16929668.000,USD,
NVIDIA Corporation,NVDA,67066G10,2379504,0.495606,Information Technology,6607515.000,USD,
AbbVie Inc.,ABBV,00287Y10,B92SR70,0.495185,Health Care,16037774.000,USD,
Honeywell International Inc.,HON,43851610,2020459,0.493216,Industrials,7829102.000,USD,
Broadcom Inc.,AVGO,11135F10,BDZ78H9,0.487302,Information Technology,4331480.000,USD,
Accenture Plc Class A,ACN,G1151C10,B4BNMY3,0.485922,Information Technology,6919574.000,USD,
Oracle Corporation,ORCL,68389X10,2661568,0.480735,Information Technology,23956936.000,USD,
Union Pacific Corporation,UNP,90781810,2914734,0.476383,Industrials,7664364.000,USD,
Thermo Fisher Scientific Inc.,TMO,88355610,2886907,0.474826,Health Care,4357993.000,USD,
PayPal Holdings Inc,PYPL,70450Y10,BYW36M8,0.468574,Information Technology,12803705.000,USD,
United Technologies Corporation,UTX,91301710,2915500,0.462587,Industrials,8800033.000,USD,
International Business Machines Corporation,IBM,45920010,2005973,0.460401,Information Technology,9639260.000,USD,
NIKE Inc. Class B,NKE,65410610,2640147,0.447902,Consumer Discretionary,13618645.000,USD,
NextEra Energy Inc.,NEE,65339F10,2328915,0.446289,Utilities,5318429.000,USD,
Linde plc,LIN,G5494J10,BZ12WP8,0.432876,Materials,5880881.000,USD,
Texas Instruments Incorporated,TXN,88250810,2885409,0.420809,Information Technology,10156555.000,USD,
General Electric Company,GE,36960410,2380498,0.389292,Industrials,94610570.000,USD,
Starbucks Corporation,SBUX,85524410,2842255,0.382543,Consumer Discretionary,13024880.000,USD,
Eli Lilly and Company,LLY,53245710,2516152,0.378564,Health Care,9244430.000,USD,
CVS Health Corporation,CVS,12665010,2577609,0.378454,Health Care,14151194.000,USD,
QUALCOMM Incorporated,QCOM,74752510,2714923,0.377017,Information Technology,12412914.000,USD,
Lockheed Martin Corporation,LMT,53983010,2522096,0.376604,Industrials,2704111.000,USD,
3M Company,MMM,88579Y10,2595708,0.368561,Industrials,6253886.000,USD,
American Tower Corporation,AMT,03027X10,B7FBFL2,0.367077,Real Estate,4816942.000,USD,
Danaher Corporation,DHR,23585110,2250870,0.354993,Health Care,6947544.000,USD,
Altria Group Inc,MO,02209S10,2692632,0.353627,Consumer Staples,20297446.000,USD,
Lowe's Companies Inc.,LOW,54866110,2536763,0.350720,Consumer Discretionary,8398359.000,USD,
U.S. Bancorp,USB,90297330,2736035,0.331267,Financials,15603714.000,USD,
Fidelity National Information Services Inc.,FIS,31620M10,2769796,0.325105,Information Technology,6675447.000,USD,
United Parcel Service Inc. Class B,UPS,91131210,2517382,0.324122,Industrials,7599081.000,USD,
Gilead Sciences Inc.,GILD,37555810,2369174,0.323587,Health Care,13794962.000,USD,
American Express Company,AXP,02581610,2026082,0.313773,Financials,7401027.000,USD,
Caterpillar Inc.,CAT,14912310,2180201,0.313183,Industrials,6121582.000,USD,
Booking Holdings Inc.,BKNG,09857L10,BDRXDB4,0.309250,Consumer Discretionary,462587.000,USD,
Charter Communications Inc. Class A,CHTR,16119P10,BZ6VT82,0.297998,Communication Services,1759274.000,USD,
Cigna Corporation,CI,12552310,BHJ0775,0.295189,Health Care,4110968.000,USD,
Anthem Inc.,ANTM,03675210,BSPHGL4,0.291695,Health Care,2782746.000,USD,
Mondelez International Inc. Class A,MDLZ,60920710,B8CKK03,0.291600,Consumer Staples,15692549.000,USD,
Automatic Data Processing Inc.,ADP,05301510,2065308,0.286254,Information Technology,4722310.000,USD,
CME Group Inc. Class A,CME,12572Q10,2965839,0.284800,Financials,3883669.000,USD,
TJX Companies Inc,TJX,87254010,2989301,0.277571,Consumer Discretionary,13156293.000,USD,
Goldman Sachs Group Inc.,GS,38141G10,2407966,0.274232,Financials,3521248.000,USD,
Intuit Inc.,INTU,46120210,2459020,0.273831,Information Technology,2829867.000,USD,
Chubb Limited,CB,H1467J10,B3BQMF6,0.265352,Financials,4958060.000,USD,
Dominion Energy Inc,D,25746U10,2542049,0.264970,Utilities,8943501.000,USD,
PNC Financial Services Group Inc.,PNC,69347510,2692665,0.262272,Financials,4844944.000,USD,
Becton Dickinson and Company,BDX,07588710,2087807,0.260022,Health Care,2926666.000,USD,
ConocoPhillips,COP,20825C10,2685717,0.259557,Energy,12079761.000,USD,
Intuitive Surgical Inc.,ISRG,46120E60,2871301,0.255430,Health Care,1251716.000,USD,
Southern Company,SO,84258710,2829601,0.254406,Utilities,11373434.000,USD,
